公司,Data Field,2015/12/31,2016/12/30
6199 天品,資產總額,"727,793","764,491"
6203 海韻電,資產總額,"2,045,172","2,108,995"
6204 艾華,資產總額,"1,072,709","1,087,822"
6207 雷科,資產總額,"3,240,170","3,542,064"
6208 日揚,資產總額,"2,227,524","2,074,619"
6210 慶生,資產總額,"1,095,026","999,048"
6212 理銘,資產總額,"4,353,986","2,836,760"
6217 中探針,資產總額,"2,014,093","2,016,120"
6218 豪勉,資產總額,"1,563,878","1,601,396"
6219 富旺,資產總額,"6,329,044","6,904,341"
6220 岳豐,資產總額,"5,271,084","7,285,337"
6221 晉泰,資產總額,"1,556,055","1,911,217"
6222 上揚,資產總額,"558,449","318,186"
6223 旺矽,資產總額,"6,651,471","7,264,994"
6227 茂綸,資產總額,"4,359,534","4,218,370"
