公司,Data Field,2015/12/31,2016/12/30
2415 錩新,資產總額,"3,992,012","4,078,558"
2417 圓剛,資產總額,"4,988,991","4,894,723"
2419 仲琦,資產總額,"7,168,188","8,106,701"
2420 新巨,資產總額,"5,887,446","7,003,588"
2421 建準,資產總額,"7,523,184","8,391,141"
2423 固緯,資產總額,"2,993,902","3,036,844"
2424 隴華,資產總額,"510,781","456,933"
2425 承啟,資產總額,"2,969,071","2,357,602"
2426 鼎元,資產總額,"5,017,493","4,989,231"
2427 三商電,資產總額,"3,593,882","3,870,965"
2428 興勤,資產總額,"6,430,364","7,330,755"
2429 銘旺科,資產總額,"699,313","1,195,882"
2430 燦坤,資產總額,"9,665,020","9,938,815"
2431 聯昌,資產總額,"2,719,770","2,835,644"
2433 互盛電,資產總額,"7,345,219","7,317,768"
2434 統懋,資產總額,"1,208,942","1,094,563"
2436 偉詮電,資產總額,"3,366,191","3,656,469"
2438 翔耀,資產總額,"1,085,803","1,170,760"
2439 美律,資產總額,"11,385,708","15,360,964"
2440 太空梭,資產總額,"2,220,185","2,219,451"
2441 超豐,資產總額,"15,814,168","17,369,230"
2442 新美齊,資產總額,"5,119,687","5,573,828"
2443 新利虹,資產總額,"2,204,431","1,952,025"
2444 兆勁,資產總額,"1,649,256","1,708,345"
2448 晶電,資產總額,"83,131,924","69,097,434"
2449 京元電子,資產總額,"40,432,136","43,687,098"
2450 神腦,資產總額,"10,215,267","10,470,899"
2451 創見,資產總額,"24,063,249","22,891,054"
2453 凌群,資產總額,"3,315,230","3,248,371"
2454 聯發科,資產總額,"351,249,656","370,711,772"
2455 全新,資產總額,"4,103,094","3,241,437"
2456 奇力新,資產總額,"8,667,132","18,598,187"
2457 飛宏,資產總額,"11,447,589","11,603,077"
2458 義隆,資產總額,"9,284,645","9,131,230"
2459 敦吉,資產總額,"8,363,229","8,013,029"
2460 建通,資產總額,"6,030,673","6,413,043"
2461 光群雷,資產總額,"5,996,040","7,029,566"
2462 良得電,資產總額,"4,214,781","4,971,237"
2464 盟立,資產總額,"7,910,702","9,577,375"
2465 麗臺,資產總額,"1,565,427","1,525,113"
2466 冠西電,資產總額,"3,339,351","3,540,515"
2467 志聖,資產總額,"5,581,053","5,419,015"
2468 華經,資產總額,"1,473,436","1,498,540"
2471 資通,資產總額,"1,067,958","1,087,251"
2472 立隆電,資產總額,"8,297,041","8,320,656"
2474 可成,資產總額,"171,579,672","186,347,584"
2476 鉅祥,資產總額,"6,738,342","7,044,528"
2477 美隆電,資產總額,"5,692,366","5,502,952"
2478 大毅,資產總額,"7,186,194","6,605,351"
2480 敦陽科,資產總額,"4,177,332","4,679,015"
2481 強茂,資產總額,"20,759,379","19,997,193"
2482 連宇,資產總額,"1,102,892","1,144,958"
2483 百容,資產總額,"2,770,942","2,880,218"
2484 希華,資產總額,"4,281,545","4,118,047"
2485 兆赫,資產總額,"10,269,553","9,300,907"
2486 一詮,資產總額,"8,356,296","7,195,736"
2488 漢平,資產總額,"2,723,893","3,236,375"
2489 瑞軒,資產總額,"21,977,508","23,825,075"
2491 吉祥全,資產總額,"2,227,333","2,155,799"
2492 華新科,資產總額,"26,224,307","28,799,403"
2493 揚博,資產總額,"3,028,208","2,996,321"
2495 普安,資產總額,"4,709,399","4,903,193"
2496 卓越,資產總額,"134,833","826,139"
2497 怡利電,資產總額,"3,299,679","3,034,012"
2498 宏達電,資產總額,"129,393,083","103,149,182"
2499 東貝,資產總額,"17,241,298","17,924,837"
2501 國建,資產總額,"61,933,275","55,429,676"
2504 國產,資產總額,"62,817,194","53,143,968"
2505 國揚,資產總額,"16,058,889","15,755,782"
2506 太設,資產總額,"14,924,123","14,980,838"
2509 全坤建,資產總額,"8,583,943","7,810,879"
2511 太子,資產總額,"54,475,911","51,284,844"
2514 龍邦,資產總額,"13,155,086","13,657,167"
2515 中工,資產總額,"37,033,022","39,169,074"
2516 新建,資產總額,"10,657,966","10,542,125"
2520 冠德,資產總額,"41,702,308","43,068,663"
2524 京城,資產總額,"30,518,481","31,794,809"
2527 宏璟,資產總額,"16,805,242","18,809,938"
2528 皇普,資產總額,"1,800,930","1,826,508"
2530 華建,資產總額,"7,538,885","6,239,927"
2534 宏盛,資產總額,"27,054,731","29,778,628"
2535 達欣工,資產總額,"15,273,659","15,207,113"
2536 宏普,資產總額,"20,287,301","17,255,234"
2537 聯上發,資產總額,"6,720,839","6,542,423"
2538 基泰,資產總額,"19,034,545","18,681,714"
2539 櫻花建,資產總額,"8,638,429","8,880,587"
2540 愛山林,資產總額,"9,178,185","10,019,963"
2542 興富發,資產總額,"114,195,943","111,156,127"
2543 皇昌,資產總額,"5,749,815","5,226,321"
2545 皇翔,資產總額,"44,045,778","36,990,862"
2546 根基,資產總額,"4,943,373","5,450,072"
2547 日勝生,資產總額,"74,912,601","75,985,578"
2548 華固,資產總額,"37,143,367","34,398,800"
2597 潤弘,資產總額,"11,543,836","10,420,414"
2601 益航,資產總額,"40,149,460","35,846,732"
2603 長榮,資產總額,"192,652,207","189,753,764"
2605 新興,資產總額,"28,387,662","25,586,936"
2606 裕民,資產總額,"63,717,556","58,109,001"
2607 榮運,資產總額,"34,082,101","33,800,742"
2608 嘉里大榮,資產總額,"12,525,749","12,898,243"
2609 陽明,資產總額,"154,976,101","136,043,426"
2610 華航,資產總額,"221,926,309","224,500,759"
2611 志信,資產總額,"4,543,980","4,474,519"
2612 中航,資產總額,"21,313,763","21,471,023"
2613 中櫃,資產總額,"6,150,065","6,169,911"
2614 東森,資產總額,"17,675,105","9,313,748"
2615 萬海,資產總額,"80,221,185","76,320,072"
2616 山隆,資產總額,"5,605,302","6,536,140"
2617 台航,資產總額,"12,873,921","13,919,917"
2618 長榮航,資產總額,"195,406,312","217,663,404"
2630 亞航,資產總額,"2,096,635","2,261,923"
2633 台灣高鐵,資產總額,"506,604,216","461,207,372"
2634 漢翔,資產總額,"28,704,182","31,025,000"
2636 台驊投控,資產總額,"4,758,659","4,813,445"
2637 慧洋-KY,資產總額,"84,183,241","85,651,615"
2642 宅配通,資產總額,"2,182,667","2,242,858"
2701 萬企,資產總額,"7,730,775","7,901,332"
2702 華園,資產總額,"3,943,730","5,100,277"
2704 國賓,資產總額,"12,198,858","11,239,821"
2705 六福,資產總額,"10,920,043","10,275,631"
2706 第一店,資產總額,"8,906,316","9,273,728"
