證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
1413 宏洲,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1414 東和,月報酬率 %,0.9934,-0.164,4.2693,5.5119,-3.1342,-4.9308,7.2935,0.6041,-0.8725,-1.5626,0.9523,1.8866
1414 東和,現股當沖比重,2.79,3.21,3.62,1.79,5.84,10.66,0,2.92,6,0,0,3.42
1416 廣豐,月報酬率 %,-1.1741,0.7921,3.733,4.1664,8.9089,-6.5108,-0.8929,-0.1803,-6.0869,-10.3673,5.3012,-8.6082
1416 廣豐,現股當沖比重,0,0.4,1.56,2.01,14.84,0.41,0,1.04,3.83,1.86,5.57,10.61
1417 嘉裕,月報酬率 %,-4.604,-0.965,1.5596,9.789,-2.9721,-5.5855,-4.771,-1.4028,-2.2357,-0.6236,1.6739,-0.6171
1417 嘉裕,現股當沖比重,2.92,3.07,0.61,2.92,2.79,0,0,0,0,0,0,0
1418 東華,月報酬率 %,24.1537,12.3636,5.5674,2.4591,1.6001,7.874,-13.8687,-4.9152,-0.3564,-12.1643,-3.6657,-9.0909
1418 東華,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1419 新紡,月報酬率 %,1.4288,1.4085,2.2728,-0.3706,1.1153,4.1666,-6.0001,5.3818,-1.5294,1.4634,0.4808,-4.3063
1419 新紡,現股當沖比重,25.8,0,0,0,0,10.25,0.83,0,3.66,0,0,0
1423 利華,月報酬率 %,5.393,-0.1461,3.5138,7.9208,-2.8833,-8.7719,5.7693,-3.2164,3.179,3.9217,0.1347,5.5181
1423 利華,現股當沖比重,0,29.1,4.05,5.24,0,0.4,2.22,0.55,0,0,2.98,3.32
1432 大魯閣,月報酬率 %,-4.1916,1.8752,-2.1474,2.1941,-6.7486,-3.6184,-7.8499,14.8148,-3.5482,-1.6722,-5.1019,0
1432 大魯閣,現股當沖比重,0,18.47,1.03,0,5.42,0,14.8,9.51,2.49,1.75,4.18,0
1434 福懋,月報酬率 %,3.4723,-1.0067,2.0339,3.6544,3.8462,-2.7779,-0.1588,-2.8615,2.7498,0.3344,2.5,0.6503
1434 福懋,現股當沖比重,0.86,2.45,1.8,0.65,2.25,0.72,5.41,2.49,4.6,2.3,8.52,5.46
1435 中福,月報酬率 %,-1.8822,0.9592,15.2018,43.0927,-14.8415,-5.2454,-3.5717,-3.1481,-0.0001,1.1472,2.0792,2.4074
1435 中福,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1436 華友聯,月報酬率 %,-0.9925,-1.2532,1.396,-3.6294,0.2595,0.0001,-0.777,-0.7833,1.579,0.8224,0.7914,1.5707
1436 華友聯,現股當沖比重,0,0,37.56,21.38,0,0,0,0,0,0,0,0
1437 勤益控,月報酬率 %,6.2913,3.115,4.2298,11.8838,-3.8861,-5.6602,7.4287,-3.4575,-1.983,2.8904,-3.9327,0.2924
1437 勤益控,現股當沖比重,10.78,0,2.59,5.96,0,0,3.87,0,0,4.71,0,0
1438 裕豐,月報酬率 %,-2.439,0.4999,20.8955,0.8231,0.408,2.6422,-2.9703,0,1.6327,1.4057,0,0.99
1438 裕豐,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1439 中和,月報酬率 %,3.0301,-7.3526,21.2697,28.2723,-15.9184,-4.3691,20.8121,-5.4624,3.1817,-7.9295,-3.8278,-1.2438
1439 中和,現股當沖比重,21.76,6.45,9.83,2.4,0.79,1.16,14.52,16.47,0,2.46,0,2.43
1440 南紡,月報酬率 %,1.6529,-0.813,12.2952,1.095,9.3864,-8.2508,0.3598,-6.4518,1.1497,5.1687,-0.738,0.7436
1440 南紡,現股當沖比重,2.89,1.38,5.75,2.16,1.16,0.58,1.05,11.41,2.61,1.31,1.54,3.73
1441 大東,月報酬率 %,-13.5019,2.1139,5.0955,10.0001,-4.1321,-6.3844,-14.9681,-0.6243,-3.5175,-3.7763,2.5713,-5.0131
1441 大東,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1442 名軒,月報酬率 %,1.1109,-2.7473,-0.565,5.3977,9.1643,-1.2345,8.25,0.2311,-3.917,6.2351,-3.0049,-2.413
1442 名軒,現股當沖比重,3.31,0.83,1.35,0.65,0,7.3,0,7.49,10.51,1.79,0,0
1443 立益,月報酬率 %,-0.8676,-2.1881,18.5463,10.409,1.0102,-1.6666,-2.2034,-2.0796,11.5047,-5.0794,3.5116,-4.0387
1443 立益,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
1444 力麗,月報酬率 %,-0.0001,2.1065,2.7913,2.1251,-3.9306,0.361,-9.7121,10.8898,30.539,4.1283,-8.37,8.6537
1444 力麗,現股當沖比重,4.92,2.28,11.21,0.36,2.05,0,0.7,34.3,14.36,32.34,50.04,33.05
1445 大宇,月報酬率 %,2.4228,-2.7957,-0.1106,3.2117,-1.1804,-2.2801,-2.1113,1.0216,-1.7052,-0.8284,0.4774,0.4753
1445 大宇,現股當沖比重,1.59,1.46,4.27,0,0,0,15.85,1.42,0,11.09,0,13.61
1446 宏和,月報酬率 %,7.4403,-0.831,-1.1173,0.2823,28.4508,6.1404,2.0662,-5.2632,-7.0513,2.9887,-1.8099,4.1474
