證券代碼,Data Field,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31
3067 全域,月報酬率 %,-4.7057,4.5268,-0.7875,-1.1905,3.6143,-3.1008,-0.4,-4.4176,0.4204,1.674,2.8805,1.9999
3067 全域,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3071 協禧,月報酬率 %,7.7634,23.3211,-0.0001,18.8119,20,0.3472,-1.3843,-8.7719,-6.9231,39.7557,-9.1429,11.9496
3071 協禧,現股當沖比重,2.78,25.7,0.34,6.91,8.33,45.37,4.41,5.81,3.62,0.33,8.23,3.43
3073 凱柏實業,月報酬率 %,0,-9.6232,-2.7777,1.4288,-2.3477,-0.9614,-3.8836,-4.5455,-0.8465,-6.6168,13.9429,-4.7141
3073 凱柏實業,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3078 僑威,月報酬率 %,-4.628,2.9462,-5.2189,9.5914,0.6484,-0.1611,-7.742,0.8741,-0.6418,8.1595,14.9126,4.4277
3078 僑威,現股當沖比重,4.22,7.69,1.32,12.67,14.21,18.28,1.58,2.97,0.84,10.15,30.97,18.61
3081 聯亞,月報酬率 %,-4.947,0.0001,2.6022,16.3044,-7.9439,-10.3215,13.2074,18.8553,19.1093,-3.8601,-5.8971,2.5335
3081 聯亞,現股當沖比重,24.46,19.05,13.69,22.73,13.42,22.99,7.52,36.95,38.36,29.08,29.78,28.62
3083 網龍,月報酬率 %,-1.7784,14.9024,1.0909,-7.0744,-0.258,-1.4229,12.4672,7.2344,-8.5964,-7.7381,-1.9354,-0.5264
3083 網龍,現股當沖比重,9.92,8.65,10.57,18.95,9.14,18.01,29.43,38.03,11.33,16.52,25,6.72
3085 新零售,月報酬率 %,13.9158,-1.9887,1.4493,16.8573,29.3397,-3.5918,-2.1566,51.1023,-11.406,-7.9341,-14.7968,3.8168
3085 新零售,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3086 華義,月報酬率 %,14.4694,10.3932,3.3079,-5.2955,-25.2836,-20.6896,36.413,52.9881,-25.7814,6.6668,-7.2369,16.6667
3086 華義,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3088 艾訊,月報酬率 %,5.8928,-1.6863,-5.1458,3.0741,-0.5263,3.8801,-3.2255,-0.8772,3.9774,-5.7969,-1.9231,1.1764
3088 艾訊,現股當沖比重,3.49,0,0,0,1.03,13.94,2.45,5.1,7.45,5.61,8.31,7.75
3089 元炬,月報酬率 %,73.0993,-0.3379,8.1357,22.2571,-25.128,-10.9589,-21.5384,-15.5883,6.2718,-20.2187,-7.2605,-8.4197
3089 元炬,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3092 鴻碩,月報酬率 %,-3.9187,-1.2085,9.9387,33.797,-1.6631,2.5368,-4.639,1.6215,15.9575,12.1176,-12.1975,7.7412
3092 鴻碩,現股當沖比重,4.67,1.63,4.57,9.19,4.15,14.69,6.7,12.24,15.56,16.63,10.96,12.09
3093 港建,月報酬率 %,-0.3126,-1.4108,0.318,4.596,1.5149,-1.3434,-0.6052,-1.8265,1.9075,-3.871,-2.0131,-1.3695
3093 港建,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3095 及成,月報酬率 %,3.2257,31.7706,10.6718,0,6.7858,-9.6991,12.2224,-19.802,-6.1729,9.6493,3.9999,-1.9232
3095 及成,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0
3105 穩懋,月報酬率 %,3.4208,0.2204,3.1902,39.1257,3.4483,-0.3704,-1.8586,26.515,9.0453,-1.695,13.5056,24.81
3105 穩懋,現股當沖比重,14.56,4.01,5.29,15.47,15.94,20.18,10.82,37.11,20.58,16.02,45.15,52.46
3114 好德,月報酬率 %,-7.5893,-0.0001,1.9322,11.8485,2.5422,-0.4131,0.0002,-2.9044,23.0549,23.5509,-4.9854,-6.1727
3114 好德,現股當沖比重,4.76,0,14.81,0,15.38,1.26,0,0,2.38,17.59,9.42,1.01
