證券代碼,Data Field,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/30,2016/2/26,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31
3085 新零售,月報酬率 %,-21.1172,17.789,12.17,-6.0131,-2.6427,-12.8571,-3.2788,17.4577,-6.4934,14.8148,-2.5539,10.2068,20.15,19.271
3085 新零售,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3086 華義,月報酬率 %,-27.4912,-9.9523,17.8948,14.7323,-3.502,1.6128,-0.7937,0.7999,32.5398,-13.473,-5.8825,4.4116,-14.0844,-34.4261
3086 華義,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3088 艾訊,月報酬率 %,-22.5576,6.2498,27.8431,6.5955,-3.0216,-6.9733,5.263,10.7576,1.5048,-7.0079,-2.174,-4,7.5619,1.496
3088 艾訊,現股當沖比重,1.61,1.15,5.81,7.65,2.83,0,2.85,6.65,3.03,0.57,0,1.42,0.43,8.92
3089 元炬,月報酬率 %,-14.7652,4.1339,-7.5613,-15.7464,0.7284,-11.3253,-47.6631,-11.7341,-10.5882,-2.6316,2.7027,-14.4739,1.3847,107.8911
3089 元炬,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3092 鴻碩,月報酬率 %,-27.0001,10.0426,6.1136,24.2797,17.5498,-11.831,-9.5847,5.3003,7.7181,-0.3114,25.0002,48,7.9392,15.7153
3092 鴻碩,現股當沖比重,0,0,0,0,0,0,0,2.5,10.27,3.26,13.5,17.82,18.98,19.31
3093 港建,月報酬率 %,-11.9487,-13.7318,3.5579,6.6906,-1.356,-3.6081,1.0695,-1.2346,17.3211,-1.5221,-1.391,4.8591,19.1762,-6.4867
3093 港建,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,14.81,0
3095 及成,月報酬率 %,-36.48,7.683,-4.6785,-10.5521,-21.3991,0.3488,-16.5216,21.875,-14.8718,-16.4658,-35.0961,-1.8519,27.9245,-29.4986
3095 及成,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3105 穩懋,月報酬率 %,-21.025,-22.2972,19.7372,21.5663,13.4463,-1.2948,7.1648,1.8832,17.9295,-4.3887,5.2457,1.7135,-9.6939,8.8886
3105 穩懋,現股當沖比重,18.85,14.56,10.83,13.86,13.34,11.6,21.2,13.06,12.12,15.19,12.42,25.05,12.04,5.81
3114 好德,月報酬率 %,-11.9716,-8.2858,7.4767,15.2172,5.6604,-9.643,-4.3479,11.1569,-6.3196,-6.3494,-10.5934,9.4785,6.4935,-1.6832
3114 好德,現股當沖比重,0,0,0,0,0,0,0,0,0,13.64,7.06,12.59,11.9,26.32
3115 寶島極,月報酬率 %,-5.2633,-12.7779,-1.274,5.1614,38.0369,2.9628,-5.0359,-2.2727,-7.7519,0,-2.1009,-2.5752,18.9427,0.3704
3115 寶島極,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
