公司,Data Field,2013/12/31
2904 匯僑,ROA－綜合損益,13.89
2905 三商,ROA－綜合損益,-0.53
2906 高林,ROA－綜合損益,3.27
2908 特力,ROA－綜合損益,2.96
2910 統領,ROA－綜合損益,2.04
2911 麗嬰房,ROA－綜合損益,0.66
2912 統一超,ROA－綜合損益,11.07
2913 農林,ROA－綜合損益,4.64
2915 潤泰全,ROA－綜合損益,78.73
2916 滿心,ROA－綜合損益,3.67
2923 鼎固-KY,ROA－綜合損益,5.85
2924 東凌-KY,ROA－綜合損益,15.2
2926 誠品生活,ROA－綜合損益,8.82
2928 紅馬-KY,ROA－綜合損益,-7.64
2929 淘帝-KY,ROA－綜合損益,23.04
2936 客思達-KY,ROA－綜合損益,5.89
2937 集雅社,ROA－綜合損益,0
2939 凱羿-KY,ROA－綜合損益,0
3002 歐格,ROA－綜合損益,7.34
3003 健和興,ROA－綜合損益,7.64
3004 豐達科,ROA－綜合損益,5.46
3005 神基,ROA－綜合損益,4.97
3006 晶豪科,ROA－綜合損益,10.59
3008 大立光,ROA－綜合損益,27.83
3010 華立,ROA－綜合損益,6.64
3011 今皓,ROA－綜合損益,-2.01
3013 晟銘電,ROA－綜合損益,2.46
3014 聯陽,ROA－綜合損益,5.31
3015 全漢,ROA－綜合損益,7.73
3016 嘉晶,ROA－綜合損益,-1.9
3017 奇鋐,ROA－綜合損益,2.85
3018 同開,ROA－綜合損益,-1.29
3019 亞光,ROA－綜合損益,-0.81
3021 鴻名,ROA－綜合損益,5.22
3022 威強電,ROA－綜合損益,9.44
3023 信邦,ROA－綜合損益,10.16
3024 憶聲,ROA－綜合損益,-6.97
3025 星通,ROA－綜合損益,4.42
3026 禾伸堂,ROA－綜合損益,6.18
3027 盛達,ROA－綜合損益,3.66
3028 增你強,ROA－綜合損益,3.76
3029 零壹,ROA－綜合損益,3.13
3030 德律,ROA－綜合損益,13.11
3031 佰鴻,ROA－綜合損益,0.7
3032 偉訓,ROA－綜合損益,4.03
3033 威健,ROA－綜合損益,4.51
3034 聯詠,ROA－綜合損益,12.19
3035 智原,ROA－綜合損益,9.42
3036 文曄,ROA－綜合損益,6.91
3037 欣興,ROA－綜合損益,1.7
3038 全台,ROA－綜合損益,1.52
3040 遠見,ROA－綜合損益,5.15
3041 揚智,ROA－綜合損益,12.89
3042 晶技,ROA－綜合損益,8.57
3043 科風,ROA－綜合損益,-20.91
3044 健鼎,ROA－綜合損益,6.99
3045 台灣大,ROA－綜合損益,13.3
3046 建碁,ROA－綜合損益,-4.18
3047 訊舟,ROA－綜合損益,3.22
3048 益登,ROA－綜合損益,3.86
3049 和鑫,ROA－綜合損益,1.3
3050 鈺德,ROA－綜合損益,-1.06
3051 力特,ROA－綜合損益,4.85
3052 夆典,ROA－綜合損益,16.72
3054 立萬利,ROA－綜合損益,20.42
3055 蔚華科,ROA－綜合損益,-14.43
3056 總太,ROA－綜合損益,19.08
3057 喬鼎,ROA－綜合損益,11.63
3058 立德,ROA－綜合損益,4.33
3059 華晶科,ROA－綜合損益,0.24
3060 銘異,ROA－綜合損益,5.93
3062 建漢,ROA－綜合損益,2.46
3064 泰偉,ROA－綜合損益,-1.29
3066 李洲,ROA－綜合損益,-18.98
3067 全域,ROA－綜合損益,-7.26
3071 協禧,ROA－綜合損益,-3.36
3073 凱柏實業,ROA－綜合損益,1.85
3078 僑威,ROA－綜合損益,6.45
3081 聯亞,ROA－綜合損益,26.64
3083 網龍,ROA－綜合損益,-1.53
3085 新零售,ROA－綜合損益,1.58
3086 華義,ROA－綜合損益,-9.86
3088 艾訊,ROA－綜合損益,14.2
3089 元炬,ROA－綜合損益,-6.23
3090 日電貿,ROA－綜合損益,8.05
3092 鴻碩,ROA－綜合損益,0.22
3093 港建,ROA－綜合損益,9.29
3094 聯傑,ROA－綜合損益,5.96
3095 及成,ROA－綜合損益,-12.2
3105 穩懋,ROA－綜合損益,9.28
3114 好德,ROA－綜合損益,6.34
3115 寶島極,ROA－綜合損益,6.92
3118 進階,ROA－綜合損益,9.75
3122 笙泉,ROA－綜合損益,8.03
3128 昇銳,ROA－綜合損益,0.42
3130 一零四,ROA－綜合損益,13.98
3131 弘塑,ROA－綜合損益,21.93
3141 晶宏,ROA－綜合損益,5.41
3144 新揚科,ROA－綜合損益,10.33
3147 大綜,ROA－綜合損益,4.54
