證券代碼,Data Field,2015/7/3,2015/7/9,2015/7/17,2015/7/24,2015/7/31,2015/8/7,2015/8/14,2015/8/21,2015/8/28,2015/9/4,2015/9/11,2015/9/18,2015/9/25,2015/10/2,2015/10/8,2015/10/16,2015/10/23,2015/10/30,2015/11/6,2015/11/13,2015/11/20,2015/11/27,2015/12/4,2015/12/11,2015/12/18,2015/12/25,2015/12/31,2016/1/8,2016/1/15,2016/1/22,2016/1/30,2016/2/3,2016/2/19,2016/2/26,2016/3/4,2016/3/11,2016/3/18,2016/3/25,2016/4/1,2016/4/8,2016/4/15,2016/4/22,2016/4/29,2016/5/6,2016/5/13,2016/5/20,2016/5/27,2016/6/4,2016/6/8,2016/6/17,2016/6/24,2016/7/1,2016/7/7,2016/7/15,2016/7/22,2016/7/29,2016/8/5,2016/8/12,2016/8/19,2016/8/26
6674 鋐寶科技,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8011 台通,週報酬率 %,-3.3546,-8.0991,9.3526,-9.3041,-13.1827,-11.4968,2.2058,-14.6283,-4.2136,13.1965,10.6218,-1.4053,-5.2256,18.5463,0,6.7654,-3.3664,-6.9673,3.5242,-6.383,0,-7.9545,0.7408,-8.8235,1.0753,-2.9255,0.822,-8.1522,5.0297,2.8168,14.2467,-3.8369,-0.4988,-0.2505,3.5175,-1.6991,-1.7284,-5.0252,-1.8518,-2.1563,-3.0303,-6.2501,-0.9091,-2.7522,-5.0315,0.6623,14.4737,5.4597,-2.7248,-0.28,-3.3708,3.1977,-3.0986,3.7789,1.4006,-2.21,7.3445,-4.7368,-4.6962,3.4782
8011 台通,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91,6.72,6.55,5.63,4.08,4.92,1.34,0,4.47,3.44,4.59,6.45,1.22,1.42,1.18,8.65,3.6,3.92,0,6.39,1.29,0,9.34,14.05,0,13.95,2.2,2.62,5.62
8016 矽創,週報酬率 %,-2.8571,0.2363,-2.4541,-18.0292,-0.8951,-2.0645,0.2635,9.4612,0.9605,1.6646,5.2631,8.6667,-3.0674,2.2152,-1.2385,0.3134,-4.375,-0.5446,9.2005,-5.7172,-6.1702,-0.1135,2.8377,-2.8698,4.5454,0.1085,1.303,-6.0022,-3.0787,6.353,7.4116,-0.5149,-1.4492,-1.2605,-2.8723,-1.5335,3.1145,-1.4023,1.4224,-3.452,6.7039,-1.0471,-0.1059,-1.8008,2.8048,-2.4134,2.1506,7.8948,0.4878,0.9709,-4.7115,5.449,1.4353,8.9109,-3.1819,-0.4695,-2.3585,-4.1546,1.8145,0.495
8016 矽創,現股當沖比重,11.57,7.53,8.01,13.19,13.54,16.41,8.2,13.72,20.01,20.23,11.73,14.85,11.24,10.59,9.78,9.11,4.1,5.65,6.23,11.23,4.93,6.97,10.02,11.48,9.38,2.21,2.97,6.32,7.2,5.49,4.6,4.99,3.35,5.82,3.84,3.25,3.7,3.72,6.85,2.19,22.31,5.56,9.75,5.62,1.45,5.37,5.34,17.44,12.82,9.1,12.33,6.75,11.86,11.54,6.5,2.71,12.38,2.56,6.29,1.34
8021 尖點,週報酬率 %,0.3875,-10.8108,5.6277,-7.1721,-3.8427,2.67,9.6927,-8.1896,-1.4084,4.0476,11.6706,2.254,4.6091,-0.3831,-1.1539,-1.7509,5.7426,-0.749,3.0189,-8.0586,-1.5936,-4.4534,2.1186,-4.5643,2.174,-1.0639,-0.8602,-2.8201,-7.1428,-1.9231,11.2746,-4.185,1.839,3.1603,2.407,2.9914,0.415,-3.5122,-1.499,-0.8695,-2.6316,-0.901,-1.8182,-6.0185,-3.2019,0.7633,3.7878,1.9464,-0.9548,-1.9277,-0.0001,3.1942,0.7144,3.5462,2.7396,0.2221,0.9155,-3.7384,-1.9418,0.495
8021 尖點,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,3.96,4.31,1.11,8.56,0.82,4.13,0.47,1.86,1.03,4.05,2.3,4.41,4.14,5.78,0,0,0,5.3,0.57,3.53,4.14,3.37,3.28,2.33,5.65,6.43,2.75,7.93
8028 昇陽半導體,週報酬率 %,-3.0088,-11.7671,-6.2042,-9.3229,23.4922,6.5117,-8.2969,-10.9524,7.754,1.2904,1.0289,2.0367,2.4716,27.0407,-11.9752,5.7237,-6.2378,-5.8577,2.1778,-4.2626,11.9945,-2.718,3.7115,-7.519,2.3478,1.062,-2.5221,-11.5999,4.439,-4.2971,-0.9761,0.8872,7.8652,4.5743,-0.3898,-0.4347,-0.8297,7.838,-2.0825,0.0417,-0.0417,-4.0867,-3.913,-0.9502,0.9593,-3.6199,2.3007,-0.8719,3.5648,2.4139,-2.7499,-0.3142,2.161,5.9938,-2.0842,-3.0797,-1.5887,-1.472,0.5301,-2.6845
8028 昇陽半導體,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8033 雷虎,週報酬率 %,-3.1925,-4.7873,0.2236,-1.2262,-4.4017,-5.549,11.875,4.5811,-4.0599,0.8909,0.4416,5.2747,-5.5323,-1.1049,0.8939,1.2182,12.6915,2.4272,-0.4739,-3.3334,-1.6748,7.2144,-4.6729,-5.5883,-0.7269,-0.4184,-2.311,1.6128,-8.1481,-4.3779,7.8313,-6.5922,2.6316,6.6435,-0.2186,5.586,-2.4897,-2.3404,1.1984,-3.2293,-3.2257,-4.1379,-3.4771,-0.1242,-5.2239,3.1497,1.2722,14.3216,5.4945,-5.7291,-0.5525,0.1111,0.2219,-1.3289,0.449,-2.3464,1.945,-4.4894,0.4699,-1.6374
8033 雷虎,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8039 台虹,週報酬率 %,1.2835,4.8387,4.3956,-2.7368,-15.8008,-7.9691,3.9106,-6.9893,-0.7795,8.9744,8.8236,-1.3514,-4.1096,4.2857,4.6576,4.4502,0.5012,-1.4962,0.1265,-5.8154,2.0134,0.3947,6.9463,-7.598,1.7241,0,-0.9126,-5.6579,-6.1367,2.3774,5.6603,-0.5495,7.1824,-2.4485,1.321,-1.8252,-0.5313,-0.801,-2.5574,1.105,-2.869,-3.7974,2.193,-1.5737,-1.4535,0.8848,5.7017,-1.5215,0.7022,0.279,-1.9471,1.5603,-2.2347,3.2856,1.798,-4.4837,1.4224,-0.8415,0.877,-0.7576
8039 台虹,現股當沖比重,1.4,5.26,3.83,7.87,11.27,10.56,5.91,3.85,5.01,8.15,8.18,3.69,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,5.7,3.28,5.61,1.94,5.71,0.24,0,3.56,3.1,1.48,3.6,10.54,6.74,5.51,3.1,0.72,0.79,1.1,1.64,3.06,0,1.38,1.79,10.27,2.07,1.82,4.79,0
8046 南電,週報酬率 %,-5.1435,-12.8626,4.2518,-7.9251,1.0954,-12.3839,-6.7138,-10.0379,20.2106,1.9265,7.2165,11.5384,-5.1725,0.9091,-2.8528,4.9458,-2.2092,-0.753,5.0077,-6.7918,6.0465,-2.9239,3.0121,0.2924,6.9972,-1.9074,-6.8056,-2.5335,-7.9511,4.8173,4.1205,-3.0442,4.3956,3.9099,0.4341,0.7204,-2.8613,-0.2946,-0.1478,-4.5858,-1.8605,-2.8437,-1.1382,2.9606,-8.9458,-1.4035,6.9395,-1.9967,0.3395,-1.0152,-2.2223,2.7971,-1.5244,2.3255,1.5734,-3.0981,0.3553,-3.186,-2.3767,-0.9363
8046 南電,現股當沖比重,6.72,3.97,1.52,6.74,1.54,3.87,6.14,5.26,7.24,8.53,12.16,16.95,0,9.48,7.17,1.73,2.34,4.24,7.69,6.51,6.35,8.18,5.39,6.88,12.32,10.34,9.26,0,0,0,0,0.48,5.34,0.49,1.2,1.2,0,0,8.51,4.19,3.08,6.61,3.72,4.63,8.07,1.95,3.11,4.4,1.93,2.05,4.95,1.41,0,1.32,2.15,0.79,1.1,1.31,5.17,0.61
8070 長華,週報酬率 %,-0.9386,-7.7895,1.598,-5.3932,-1.4252,1.8072,-0.0001,-6.2723,1.894,-0.9913,1.6271,-0.2464,-1.2346,5.6249,-1.3017,-1.4388,0.4867,0.2421,2.6571,1.1765,3.4884,0.337,1.5677,-1.9846,1.125,-3.6708,-0.9238,-7.2261,-4.2714,1.0499,3.8962,-3.625,10.2465,4.7059,1.7979,2.6489,1.7203,-4.6512,2.9934,-2.0452,-0.3297,-3.3076,-2.0524,0.9312,0.4613,1.8369,1.2402,0.2226,0.1111,2.9404,6.4177,6.4692,0.103,-0.3087,5.7791,15.122,-4.2374,1.77,-0.8695,0.4386
8070 長華,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.17,3.03,6.33,4.99,3.7,0.91,3.31,3.57,1.35,5.33,2.65,0,8.69,10.54,0.85,0,0,0,4.91,5.14,1.48,1.86,0.43,14.5,11.14,7.78,2.61,4.96
8072 陞泰,週報酬率 %,-1.7516,-5.9968,-1.0343,-4.1812,-5.4081,2.8455,0.5928,-3.1434,4.8682,-0.1934,6.2016,-1.095,-2.214,-1.5094,1.9157,4.1354,2.166,-5.1238,1.1172,-8.4714,4.0242,0.0001,-0.7738,-2.3392,0.5988,0,0.3968,-1.5811,-1.6064,1.6327,0.8032,-0.7968,4.2169,3.4682,-0.5587,-0.1872,-0.5628,-3.7736,-0.7844,0,-0.9881,-0.7984,0.6036,0,-0.8,0.6048,-0.2004,0.8031,-1.1952,-0.4032,-1.417,0.2054,-2.2541,3.2354,1.2711,-1.8829,0.0001,-0.6396,-0.8584,0.433
8072 陞泰,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94,0,0,0,1.6,0,0,0,0,0,0,3.98,0,0,0,0,0,2.32,0,0.76,2.08,0,0,0,3.03,7,0
8081 致新,週報酬率 %,0.1266,-7.0531,-1.7647,-7.6347,-1.9448,-4.1322,-1.2068,-10.6458,3.7109,2.4483,5.147,2.972,-8.9983,3.1716,4.34,4.506,-0.4976,0,0,-5.8333,1.947,-3.6459,1.8018,8.8496,1.3009,-2.4078,0,-7.5658,-3.2029,0.5513,6.3987,-0.5155,21.5889,15.767,-2.2086,-2.2584,-2.9525,-3.5716,-2.0576,-3.3613,2.1738,-4.539,-0.743,-2.6946,-0.7692,-5.7364,4.7697,-0.157,0.0001,0,-1.7296,15.1999,-2.9242,1.5385,2.4243,-3.5503,-0.1534,2.4577,-3.2984,-0.9303
