證券代碼,Data Field,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27,2014/7/4,2014/7/11,2014/7/18,2014/7/25,2014/8/1,2014/8/8,2014/8/15,2014/8/22,2014/8/29,2014/9/5,2014/9/12,2014/9/19,2014/9/26,2014/10/3,2014/10/9,2014/10/17,2014/10/24,2014/10/31,2014/11/7,2014/11/14,2014/11/21,2014/11/28,2014/12/5,2014/12/12,2014/12/19,2014/12/27,2014/12/31
5425 台半,週報酬率 %,4.0676,-2.9316,1.3424,-2.9801,-2.3891,5.9441,-0.165,0.4958,12.5,15.4971,-7.4683,-1.2311,0.9695,-0.6859,0.9669,-12.4487,3.2813,9.6822,-8.5517,3.7707,8.8664,-0.1335,3.0749,-1.9455,-3.9682,-1.102,-3.2034,2.9783,1.4492,2.8572,0.8334,3.9944,0.6622,6.4473,-5.0679,-3.6459,4.4596,-6.5976,3.0472,-13.1719,-12.5387,-9.2036,8.1871,-1.2613,4.562,-1.0471,-3.88,18.5321,-3.87,-0.8051,5.6817,-2.3041
5425 台半,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5457 宣德,週報酬率 %,12.2354,10.6918,-1.5152,-2.6923,3.7549,-6.8571,4.7035,3.9063,-1.8796,-3.4483,-6.3492,1.2712,2.5104,-0.8163,-1.4405,-0.4177,5.2412,0.3984,-3.7699,0.6186,26.8442,-1.4539,8.1968,13.9394,2.3937,-6.7532,-8.9137,3.0581,-0.5935,-7.7613,-3.5599,-8.3892,9.1575,1.3422,-4.3046,-1.3841,-0.0001,-0.0001,10.7017,-4.9129,-16.0001,-0.5953,-3.5927,6.0041,8.7891,1.2567,-6.2057,19.0927,-0.6349,5.4313,1.8182,0
5457 宣德,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5483 中美晶,週報酬率 %,7.1429,-2.3333,-0.5119,-4.8027,3.2432,-6.1082,4.2751,1.0695,3.1745,-1.1967,-5.7093,-2.7523,1.1321,-5.4104,2.5641,-5.3846,4.065,-3.9063,8.1301,6.0151,1.0639,-3.8597,10.5841,0.8251,-11.1293,3.8674,-6.0283,1.9231,4.9057,-8.9928,-2.7668,-1.1179,-3.8027,3.6325,-1.7526,-4.617,-1.5401,0.7821,3.3258,-2.2532,-2.1955,5.9484,-0.4237,0.7447,1.1615,1.1482,-0.7224,6.0292,-0.3921,6.2991,2.5927,-0.1805
5483 中美晶,現股當沖比重,6.52,9.9,7.92,4.91,7.14,6.9,5,12.12,6.15,9.33,8.86,6.91,5.37,4.46,15.78,6.39,3.95,5.17,8.36,4.05,8.99,6.16,9.47,5.43,7.57,13.27,4.86,8.01,11.39,7.22,12.24,7.72,5.13,8.95,12.32,5.89,10.31,14.58,7.21,5.47,5.41,10.86,6.61,9.08,3.96,10.2,3.69,6.07,9.09,11.41,12.81,5.15
5536 聖暉,週報酬率 %,0.4132,0,-1.2345,-0.4167,0.8368,-2.0747,0.0001,7.2034,-1.9763,-0.0001,-0.0001,0.4032,-3.2128,-0.8299,-0.4184,-2.521,0,-6.8966,-1.3889,-0.4695,-1.4151,2.3924,2.3365,2.7398,-1.7777,1.3575,-1.5136,-0.995,-0.402,-4.339,-3.3755,5.6768,-1.1364,-0.8359,0.3161,0.7353,-1.4599,-1.799,1.1853,-2.556,-18.5792,2.5503,1.9633,0.385,0.2556,0.3827,3.6848,0.6127,4.3849,0.4667,0.4647,0.1155
5536 聖暉,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6121 新普,週報酬率 %,4.8872,2.8674,-2.0906,-1.0676,-3.5971,0.3732,-0.3717,1.8656,-2.1978,-1.8727,6.8703,2.1429,2.0979,-2.7397,5.2817,1.3377,6.6006,-4.0248,0.6452,1.282,0,6.3291,2.0834,0.2915,3.1977,6.1972,-8.7534,1.3371,2.0896,-3.5088,-1.212,-1.227,1.2423,3.0674,-2.0833,-5.7752,0,-5.1613,4.762,-4.2207,-2.3728,-1.7362,4.5935,4.0541,2.5973,0,0.6329,2.5156,-1.5336,-3.4268,1.2903,0.3185
6121 新普,現股當沖比重,1.15,1,1.16,1.89,3.3,1.1,0.22,0.86,2.2,0.35,2.52,4.11,1.71,2.4,4.71,5.1,5.52,2.18,2.62,5.49,2.08,4.32,2.58,1.14,5.83,6.28,4.19,7.29,2.82,7.65,3.65,4.97,1.48,5.95,0.91,5.61,0.55,8.19,5.68,3.75,3.21,2.88,4.18,2.82,4.46,5.15,0.5,4.6,2.05,4.4,13.66,6.25
6147 頎邦,週報酬率 %,-0.7583,6.2227,-1.3362,-1.5625,7.5133,-1.7716,6.2123,-2.2641,-0.9653,3.1189,-1.1342,2.1032,4.3072,-0.0001,-1.6158,-6.0219,1.9417,-1.7143,-0.5814,3.1189,1.1343,2.6168,-2.55,-2.8037,0,0.1922,-2.1113,0.3922,1.003,1.9328,-5.7884,2.0127,6.9574,1.5534,-3.0593,6.3117,4.4527,1.2433,0.8772,-2.4348,-5.5259,6.7926,-1.0601,3.2142,2.9412,2.353,-5.4187,-0.6945,-1.5736,0.1777,1.9504,0.8696
