公司,Data Field,2015/9/30,2015/12/31,2016/3/31,2016/6/30
2428 興勤,M負債比率％,0,0,0,0
2429 銘旺科,M負債比率％,0,0,0,0
2430 燦坤,M負債比率％,0,0,0,0
2431 聯昌,M負債比率％,0,39.1,0,0
2433 互盛電,M負債比率％,0,0,0,0
2434 統懋,M負債比率％,0,0,0,0
2436 偉詮電,M負債比率％,0,0,0,0
2438 翔耀,M負債比率％,0,0,0,0
2439 美律,M負債比率％,0,0,0,0
2440 太空梭,M負債比率％,0,0,0,0
2441 超豐,M負債比率％,0,0,0,0
2442 新美齊,M負債比率％,0,0,0,0
2443 新利虹,M負債比率％,0,0,0,0
2444 兆勁,M負債比率％,0,0,0,0
2448 晶電,M負債比率％,0,0,0,0
2449 京元電子,M負債比率％,0,0,0,0
2450 神腦,M負債比率％,0,0,0,0
2451 創見,M負債比率％,0,0,0,0
2453 凌群,M負債比率％,0,0,0,0
2454 聯發科,M負債比率％,0,0,0,0
2455 全新,M負債比率％,0,0,0,0
2456 奇力新,M負債比率％,0,0,0,0
2457 飛宏,M負債比率％,0,0,0,0
2458 義隆,M負債比率％,0,0,0,0
2459 敦吉,M負債比率％,0,0,0,0
2460 建通,M負債比率％,0,0,0,0
2461 光群雷,M負債比率％,0,0,0,0
2462 良得電,M負債比率％,0,0,0,0
2464 盟立,M負債比率％,0,0,0,0
2465 麗臺,M負債比率％,55.94,56.7,58.17,63.7
2466 冠西電,M負債比率％,0,0,0,0
2467 志聖,M負債比率％,0,0,0,0
2468 華經,M負債比率％,0,24.45,0,0
2471 資通,M負債比率％,0,0,0,0
2472 立隆電,M負債比率％,0,0,0,0
2474 可成,M負債比率％,0,0,0,0
2476 鉅祥,M負債比率％,0,0,0,0
2477 美隆電,M負債比率％,0,0,0,0
2478 大毅,M負債比率％,0,0,0,0
2480 敦陽科,M負債比率％,0,0,0,0
2481 強茂,M負債比率％,0,0,0,0
2482 連宇,M負債比率％,0,24.55,0,0
2483 百容,M負債比率％,0,0,0,0
2484 希華,M負債比率％,0,0,0,0
2485 兆赫,M負債比率％,0,0,0,0
2486 一詮,M負債比率％,0,0,0,0
2488 漢平,M負債比率％,0,0,0,0
2489 瑞軒,M負債比率％,0,0,0,0
2491 吉祥全,M負債比率％,0,0,0,0
2492 華新科,M負債比率％,0,0,0,0
2493 揚博,M負債比率％,0,0,0,0
2495 普安,M負債比率％,0,0,0,0
2496 卓越,M負債比率％,0,0,0,0
2497 怡利電,M負債比率％,0,38.52,0,0
2498 宏達電,M負債比率％,0,49.93,0,0
2499 東貝,M負債比率％,0,0,0,0
2501 國建,M負債比率％,0,0,0,0
2504 國產,M負債比率％,0,0,0,0
2505 國揚,M負債比率％,0,0,0,0
2506 太設,M負債比率％,0,0,0,0
2509 全坤建,M負債比率％,0,0,0,0
2511 太子,M負債比率％,0,0,0,0
2514 龍邦,M負債比率％,0,38.03,41.12,0
2515 中工,M負債比率％,0,0,0,0
2516 新建,M負債比率％,0,0,0,0
2520 冠德,M負債比率％,0,0,0,0
2524 京城,M負債比率％,0,0,0,0
2527 宏璟,M負債比率％,0,0,0,0
2528 皇普,M負債比率％,0,0,0,0
2530 華建,M負債比率％,0,0,0,0
2534 宏盛,M負債比率％,0,0,0,0
2535 達欣工,M負債比率％,0,0,0,0
2536 宏普,M負債比率％,0,0,0,0
2537 聯上發,M負債比率％,0,0,0,0
2538 基泰,M負債比率％,0,0,0,0
2539 櫻花建,M負債比率％,0,0,0,0
2540 愛山林,M負債比率％,0,0,0,0
2542 興富發,M負債比率％,0,0,0,0
2543 皇昌,M負債比率％,0,0,0,0
2545 皇翔,M負債比率％,0,0,0,0
2546 根基,M負債比率％,0,0,0,0
2547 日勝生,M負債比率％,0,0,0,0
2548 華固,M負債比率％,0,0,0,0
2596 綠意,M負債比率％,0,0,0,0
2597 潤弘,M負債比率％,0,0,0,0
2601 益航,M負債比率％,0,67.95,0,0
2603 長榮,M負債比率％,0,0,0,0
2605 新興,M負債比率％,0,0,0,0
2606 裕民,M負債比率％,0,0,0,0
2607 榮運,M負債比率％,0,0,0,0
2608 嘉里大榮,M負債比率％,0,0,0,0
2609 陽明,M負債比率％,0,0,0,0
2610 華航,M負債比率％,0,0,0,0
2611 志信,M負債比率％,0,0,0,0
2612 中航,M負債比率％,0,47.73,0,0
2613 中櫃,M負債比率％,0,0,0,0
2614 東森,M負債比率％,0,0,0,0
2615 萬海,M負債比率％,0,0,0,0
2616 山隆,M負債比率％,0,0,0,0
2617 台航,M負債比率％,0,0,0,0
2618 長榮航,M負債比率％,0,0,0,0
2630 亞航,M負債比率％,0,0,0,0
2633 台灣高鐵,M負債比率％,0,0,0,0
2634 漢翔,M負債比率％,0,0,0,0
2636 台驊投控,M負債比率％,0,0,0,0
2637 慧洋-KY,M負債比率％,0,0,0,0
2640 大車隊,M負債比率％,0,0,0,0
2641 正德,M負債比率％,0,0,0,0
2642 宅配通,M負債比率％,0,0,0,0
2643 捷迅,M負債比率％,0,0,0,0
2701 萬企,M負債比率％,0,0,0,0
2702 華園,M負債比率％,0,0,0,0
2704 國賓,M負債比率％,0,0,0,0
2705 六福,M負債比率％,0,0,0,0
2706 第一店,M負債比率％,0,0,0,0
2707 晶華,M負債比率％,0,0,0,0
2712 遠雄來,M負債比率％,0,0,0,0
2718 晶悅,M負債比率％,0,0,0,0
2719 燦星旅,M負債比率％,47.35,50.33,47.89,53.96
2722 夏都,M負債比率％,0,0,0,0
2723 美食-KY,M負債比率％,0,0,0,0
2724 富驛-KY,M負債比率％,0,0,0,0
2726 雅茗-KY,M負債比率％,0,0,0,0
2727 王品,M負債比率％,0,0,0,0
2729 瓦城,M負債比率％,0,0,0,0
2731 雄獅,M負債比率％,0,0,0,0
2732 六角,M負債比率％,0,0,0,0
2734 易飛網,M負債比率％,0,0,0,0
2736 高野,M負債比率％,0,31.07,0,0
2739 寒舍,M負債比率％,0,54.71,0,0
2740 天蔥,M負債比率％,38.68,31.41,31.02,45.04
2745 五福,M負債比率％,0,0,0,0
2748 雲品,M負債比率％,0,0,0,0
2752 豆府,M負債比率％,0,40.06,0,0
2801 彰銀,M負債比率％,93.32,93.21,0,0
2809 京城銀,M負債比率％,0,88.02,0,0
2812 台中銀,M負債比率％,0,93.06,0,0
2816 旺旺保,M負債比率％,0,0,0,0
2820 華票,M負債比率％,0,0,0,0
2823 中壽,M負債比率％,0,93.13,0,0
2832 台產,M負債比率％,0,54.87,0,0
2834 臺企銀,M負債比率％,0,95.42,0,0
2836 高雄銀,M負債比率％,0,95.48,0,0
2838 聯邦銀,M負債比率％,0,93.09,0,0
2841 台開,M負債比率％,0,0,0,0
2845 遠東銀,M負債比率％,0,92.87,0,0
2849 安泰銀,M負債比率％,0,90.55,0,0
2850 新產,M負債比率％,0,0,0,0
2851 中再保,M負債比率％,0,0,0,0
2852 第一保,M負債比率％,0,0,0,0
2855 統一證,M負債比率％,65.84,67.52,71.94,72.11
2867 三商壽,M負債比率％,0,0,0,0
2880 華南金,M負債比率％,0,93.49,0,0
2881 富邦金,M負債比率％,0,0,0,0
2882 國泰金,M負債比率％,94.1,93.91,93.83,94.15
2883 開發金,M負債比率％,0,80.53,0,0
2884 玉山金,M負債比率％,0,0,0,0
2885 元大金,M負債比率％,0,0,0,0
2886 兆豐金,M負債比率％,0,0,0,0
2887 台新金,M負債比率％,0,0,0,0
2888 新光金,M負債比率％,0,0,0,0
2889 國票金,M負債比率％,0,0,0,0
2890 永豐金,M負債比率％,0,0,0,0
2891 中信金,M負債比率％,0,0,93.86,94.08
2892 第一金,M負債比率％,0,92.48,0,0
2897 王道銀行,M負債比率％,0,0,0,0
2901 欣欣,M負債比率％,0,0,0,0
2903 遠百,M負債比率％,0,0,0,0
2904 匯僑,M負債比率％,0,0,0,0
2905 三商,M負債比率％,0,96.74,96.53,96.51
2906 高林,M負債比率％,0,0,0,0
2908 特力,M負債比率％,0,0,0,0
2910 統領,M負債比率％,0,0,0,0
2911 麗嬰房,M負債比率％,0,0,0,0
2912 統一超,M負債比率％,0,0,0,0
2913 農林,M負債比率％,0,0,0,0
2915 潤泰全,M負債比率％,0,0,0,0
2916 滿心,M負債比率％,0,0,0,0
2923 鼎固-KY,M負債比率％,0,0,0,0
2924 東凌-KY,M負債比率％,0,0,0,0
2926 誠品生活,M負債比率％,0,0,0,0
2928 紅馬-KY,M負債比率％,0,0,0,0
2929 淘帝-KY,M負債比率％,0,0,0,0
2936 客思達-KY,M負債比率％,0,0,0,0
2937 集雅社,M負債比率％,0,0,0,0
2939 凱羿-KY,M負債比率％,0,0,0,0
3002 歐格,M負債比率％,0,0,0,0
3003 健和興,M負債比率％,0,0,0,0
3004 豐達科,M負債比率％,0,0,0,0
3005 神基,M負債比率％,0,0,0,0
3006 晶豪科,M負債比率％,0,0,0,0
3008 大立光,M負債比率％,0,24.53,0,0
3010 華立,M負債比率％,0,0,0,0
3011 今皓,M負債比率％,0,0,0,0
3013 晟銘電,M負債比率％,0,0,0,0
3014 聯陽,M負債比率％,0,0,0,0
3015 全漢,M負債比率％,0,0,0,0
3016 嘉晶,M負債比率％,0,0,0,0
3017 奇鋐,M負債比率％,0,0,0,0
3018 同開,M負債比率％,0,0,0,0
3019 亞光,M負債比率％,0,0,0,0
3021 鴻名,M負債比率％,0,0,0,0
3022 威強電,M負債比率％,0,0,0,0
3023 信邦,M負債比率％,0,0,0,0
3024 憶聲,M負債比率％,0,0,0,0
3025 星通,M負債比率％,0,0,0,0
3026 禾伸堂,M負債比率％,0,0,0,0
3027 盛達,M負債比率％,0,0,0,0
3028 增你強,M負債比率％,0,0,0,0
3029 零壹,M負債比率％,0,0,0,0
3030 德律,M負債比率％,0,0,0,0
3031 佰鴻,M負債比率％,0,23.5,0,0
3032 偉訓,M負債比率％,0,0,0,0
