公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
6189 豐藝,M負債比率％,0,0,0,0,0,0,53.19,52.02
6190 萬泰科,M負債比率％,0,0,0,0,0,0,55.62,53.34
6191 精成科,M負債比率％,0,0,0,0,0,0,55.34,56.92
6192 巨路,M負債比率％,0,0,0,0,0,0,35.96,39.41
6194 育富,M負債比率％,0,0,0,0,0,0,11.46,10.38
6195 詩肯,M負債比率％,0,0,0,0,0,0,38.19,31.18
6196 帆宣,M負債比率％,0,0,0,0,0,0,67.99,64.77
6197 佳必琪,M負債比率％,0,0,0,0,0,0,27.69,27.37
6198 凌泰,M負債比率％,10.63,7.71,8.78,6.91,24.12,30.32,29.62,22.48
6199 天品,M負債比率％,0,0,0,0,0,0,7.09,7.2
6201 亞弘電,M負債比率％,0,0,29.51,0,0,0,27.62,23.91
6202 盛群,M負債比率％,0,0,0,0,0,0,0,22.81
6203 海韻電,M負債比率％,0,0,0,0,0,0,36.34,38.64
6204 艾華,M負債比率％,0,0,0,0,0,0,18.6,18.74
6205 詮欣,M負債比率％,0,0,0,0,0,0,26.63,25.38
6206 飛捷,M負債比率％,0,0,0,0,0,0,0,24.75
6207 雷科,M負債比率％,0,0,0,0,0,0,59.55,60.14
6208 日揚,M負債比率％,0,0,0,0,0,0,26.63,31.12
6209 今國光,M負債比率％,0,0,0,0,0,0,31.13,28.82
6210 慶生,M負債比率％,0,0,0,0,0,0,23.73,23.15
6212 理銘,M負債比率％,0,0,0,0,0,0,55.63,39.6
6213 聯茂,M負債比率％,0,0,0,0,0,0,59.61,59.78
6214 精誠,M負債比率％,0,0,0,0,0,0,36.37,27.86
6215 和椿,M負債比率％,0,0,0,0,0,0,45.11,42.82
6216 居易,M負債比率％,0,0,0,0,0,0,13.56,13.52
6217 中探針,M負債比率％,0,0,0,0,0,0,27.12,25.93
6218 豪勉,M負債比率％,0,0,36.02,0,0,0,29.97,29.69
