公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
4502 健信,M負債比率％,0,0,0,0,0,0,66.19,64.66
4503 金雨,M負債比率％,0,0,0,0,0,0,15.1,15.85
4506 崇友,M負債比率％,0,0,0,0,0,0,34.89,43.74
4510 高鋒,M負債比率％,0,0,0,0,0,0,55,59.04
4513 福裕,M負債比率％,0,0,0,0,0,0,68.76,69.35
4523 永彰,M負債比率％,0,0,0,0,0,0,39.91,40.07
4527 方土霖,M負債比率％,0,0,40.85,0,0,0,40.61,37.89
4528 江興鍛,M負債比率％,0,0,0,0,0,0,50.74,48.16
4529 淳紳,M負債比率％,16.54,8.47,8.87,9.28,8.34,15.71,17.13,17.93
4530 宏易,M負債比率％,0,0,0,0,0,0,6.23,6.38
4533 協易機,M負債比率％,0,0,0,0,0,0,56.86,56.58
4534 慶騰,M負債比率％,0,0,0,0,0,0,54.67,53.78
