證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
3090 日電貿,現股當沖比重,5.98,1.81,1.94,2.06,0,0,8.08,0,0,0,0,1.24,8.62,1.61,6.51,0.46,20.2,0.83,28.82,11.07,23.02,21.13,19.52,34.84,48.04
3094 聯傑,月報酬率 %,-9.5518,0.2156,-3.4409,8.2122,2.6033,-3.1713,-6.9868,-4.2254,3.6765,1.182,7.4764,-2.3914,3.7861,0.4294,3.6612,-1.5087,3.9387,-4.421,12.3348,-1.9608,3.7999,-1.5414,-9.7847,-1.3016,-2.1978
3094 聯傑,現股當沖比重,0,4.16,5.21,7.95,11.72,27.2,12.31,0,0,0,3.29,1.17,10.78,12.53,13.38,1.7,6.41,3.27,43.33,17.12,13.24,26.53,27.05,6.59,9.05
3130 一零四,月報酬率 %,-0.3558,0.7144,-1.4184,2.8566,7.4074,-4.4828,-1.0829,0.0001,2.1897,-0.7143,0.7193,7.1429,-3.6667,11.0728,1.5578,-1.7621,2.3412,-1.307,0.6624,2.3027,4.8232,9.2025,-2.5281,1.4409,0
3130 一零四,現股當沖比重,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,0,9.99,0,0,0,0,0,3.81,0,0,0
3149 正達,月報酬率 %,-16.8002,-3.7393,28.7457,7.7586,-4,-4.5831,14.3869,7.9712,-8.2774,-4.878,13.0769,-8.8433,-12.9355,5.1428,9.5111,-3.4741,38.8177,-15.9259,3.5243,-12.9787,-5.6234,-4.1451,-8.6486,-1.1835,-2.994
3149 正達,現股當沖比重,0,0,0,0,0,0,0,9.57,4.04,6.23,11.86,0,6.46,16.2,12.03,0,0,0,0,0,0,0,0,0,0
3164 景岳,月報酬率 %,-10.6214,3.5876,-4.3291,2.7149,-4.8457,2.7778,-6.5317,-7.4698,22.3958,-8.5106,10.0001,-9.9367,3.7557,-1.81,-2.0736,-0.2354,-0.7076,11.1638,3.205,0.8279,-5.544,5.6522,-1.0288,10.395,2.0718
3164 景岳,現股當沖比重,3.57,5.37,1.56,1.26,0,16.3,6.66,0,7.89,0,0.95,5.15,4.27,2.04,1.64,2.63,21.3,6.1,6.14,2.61,8.95,3.49,19.49,30.2,19.48
3167 大量,月報酬率 %,-9.2896,-2.0082,-2.2539,40.4614,-11.7043,-8.9284,-7.4508,8.0509,0.7843,15.5642,8.2491,11.9755,-9.0277,-4.8855,4.1733,44.8384,-2.1278,-1.7092,2.4027,12.4022,3.181,4.4317,-7.0111,1.1907,-9.4117
3167 大量,現股當沖比重,11.81,0,0,21.54,24.49,0,0,9.91,4.67,12.51,1.08,14.08,6.41,6.99,0.74,30.39,27.75,25.98,8.6,25.49,11.71,19.8,7.66,1.15,15.59
3189 景碩,月報酬率 %,-12.5875,14.2397,-1.4005,-2.2725,2.2654,9.2675,-0.2736,-2.4693,0.1406,0.8426,18.3842,-5.6472,-2.1199,-0.5097,3.329,0.9913,6.7443,-10.8335,1.4686,-5.658,-24.4071,-7.011,0.9922,9.6266,-12.0072
3189 景碩,現股當沖比重,5.18,5.27,2.68,3.64,1.2,5.58,12.84,4.24,2.17,0.63,8.33,4.74,18.09,9.78,18.22,14.1,7.94,15.26,17.63,11.11,8.32,16.59,13.36,28.3,11.52
3209 全科,月報酬率 %,1.5153,-4.4777,4.1665,6.1185,-3.7878,1.5748,-2.1318,-3.5644,-0.2057,1.852,7.4747,-3.0074,-0.7751,0,-0.7813,1.5749,-1.6724,-7.5594,-1.4018,3.1641,-6.0749,0.995,1.2316,3.4062,-3.7647
3209 全科,現股當沖比重,3.88,0,2.73,0.79,0,0,0,0.93,0,0,0.35,2.79,6.75,1.94,0.75,0.57,4.51,1.39,0,2.07,2.49,1.72,1.17,0.42,1.56
3229 晟鈦,月報酬率 %,-19.2207,-4.1798,-2.0134,5.4793,-17.2078,-5.8826,2.5001,-2.8456,-5.8578,-10.6666,4.4777,-2.8571,0.9804,86.4074,39.0625,-36.5167,15.9292,-8.1424,0.2768,12.7071,-11.7646,5.5555,-4.9999,4.7091,-7.9367
3229 晟鈦,現股當沖比重,3.67,1.84,2.78,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3231 緯創,月報酬率 %,-4.0201,9.6859,6.9214,13.1695,-0.4068,0,2.1459,-4.2019,9.4299,6.8136,-3.3767,7.9611,2.518,-2.4562,11.331,-1.454,0.0849,-14.035,2.6531,-8.1512,3.6798,2.2965,0.0001,1.6329,-4.8193
3231 緯創,現股當沖比重,8.3,9.39,17.94,4.17,7.31,3,2.93,4,11.25,4.12,6.48,6.12,3.5,4.94,7.6,6.88,28.11,38.02,18.32,14.39,8.3,15.71,10.51,5.07,8.46
3257 虹冠電,月報酬率 %,-10.0712,1.9764,-1.9378,8.6958,2.5671,4.8176,-6.8323,-2.8,-0.2742,1.9259,1.2145,-1.8666,-6.1142,8.5383,4.8002,18.8296,48.8133,-8.3722,-11.5061,-3.2506,-5.336,22.3382,1.5358,2.353,-14.1212
3257 虹冠電,現股當沖比重,10.42,0,4.59,14.6,0,2.39,0,2.54,0,0,2.57,0,1.48,14.74,4.11,14.57,16.93,17.45,9.57,12.76,3.79,11.62,25.44,12,7.79
3266 昇陽,月報酬率 %,-3.2518,0.8402,-0.4163,4.6025,-9.5998,3.0972,8.5836,-7.1145,-2.1277,0,4.3478,-3.75,1.2986,-1.7094,0.0002,-2.1739,-1.7778,4.0723,0.4348,0.866,-3.0043,0.4422,-1.7622,-0.8972,0.4523
