證券代碼,Data Field,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31,2016/9/30,2016/10/31,2016/11/30,2016/12/30,2017/1/24,2017/2/24,2017/3/31,2017/4/28,2017/5/31,2017/6/30,2017/7/31,2017/8/31,2017/9/30,2017/10/31,2017/11/30,2017/12/29,2018/1/31,2018/2/27,2018/3/31,2018/4/30
1742 台蠟,月報酬率 %,-10.0437,-12.6213,34.4442,-7.4381,5.3572,15.2543,-5.8825,-11.7188,-1.7701,7.2073,7.5629,-8.5939,-5.5556,0.4525,0.9009,-2.6785,-3.6696,1.9047,-0.0001,-4.6731,-0.4902,-1.4779,-2.5999,3.3094,37.5795
1742 台蠟,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.66
1752 南光,月報酬率 %,-0.8226,8.1752,5.6953,-3.938,-3.2485,0.2285,-7.0775,-7.8627,11.4666,-3.3492,5.9407,-1.9858,-4.5292,-0.1251,2.1249,-3.4273,-0.353,-3.3155,-2.0578,4.0617,-0.5383,2.8416,-4.4736,9.2287,-0.1261
1752 南光,現股當沖比重,1.31,4.43,5.38,3.17,13.79,2.47,0,2.83,16.29,1.83,8.37,1.01,5.56,5.14,6.55,2.46,27.68,0,1.25,0,0,0,3.49,15.53,18.33
1777 生泰,月報酬率 %,-3.3368,8.4142,4.9752,-3.7913,1.939,-0.8008,-1.4127,1.1258,-1.6192,-3.8066,6.738,-2.9058,-6.192,-3.1906,2.4998,0.5544,-0.0002,0.5732,-2.0524,-12.4565,-4.2552,-1.8056,1.6973,2.2253,7.4832
1777 生泰,現股當沖比重,10.58,7.62,6.34,1.47,14.55,0,8.87,0,6.9,7.14,3.48,13.88,22.76,37.14,14.29,0,10.71,0,19.35,0,22.72,35.29,6.11,2.7,6.12
1781 合世,月報酬率 %,-13.6752,0.9902,-1.9609,12.4999,-8.4446,-3.1554,-5.7646,-1.3297,5.1213,-3.5898,6.117,-5.0126,-13.1927,-10.3344,8.8136,-7.7883,-2.3649,-11.0724,-1.1674,-2.756,-3.2388,7.5312,-5.8365,33.058,-11.1802
1781 合世,現股當沖比重,1.85,6.59,4.23,9.23,2.15,7.06,7.14,13.16,7.32,42.54,24.71,24.99,0,0,0,0,0,0,0,0,0,0,0,0,0
1784 訊聯,月報酬率 %,-5.5553,-1.5126,-1.1943,9.0096,-2.4075,7.8947,-6.5549,-0.6524,-0.4926,-2.6401,4.2374,-7.1545,-2.9773,-2.3465,6.4694,5.9028,-6.885,-1.4085,-0.3572,-0.8959,-2.3508,0,-3.3334,4.5975,-3.6631
1784 訊聯,現股當沖比重,0.92,8.42,2.27,6.99,11.53,7.01,3.7,7.87,21.86,0,3.47,3.57,0,2.77,20.85,11.83,35.39,14.27,1.35,9.4,3.25,4.48,2.16,14.27,9.18
