證券代碼,Data Field,2015/7/31,2015/8/31,2015/9/30,2015/10/30,2015/11/30,2015/12/31,2016/1/30,2016/2/26,2016/3/31,2016/4/29,2016/5/31,2016/6/30,2016/7/29,2016/8/31
1437 勤益控,月報酬率 %,-13.2354,1.6951,2.5,-1.2193,-0.823,1.2447,-5.3279,1.2987,6.4101,-0.4017,16.9355,-0.6897,6.25,-0.9805
1437 勤益控,現股當沖比重,0,0,0,0,0,0,0,1.07,18.46,0,10.73,0,0,0
1438 裕豐,月報酬率 %,-2.5792,-15.4785,19.0361,-5.6678,-3.0043,1.7699,-7.3913,9.3897,-3.8627,-6.4732,-4.5345,3.7499,-0.9638,-1.7033
1438 裕豐,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439 中和,月報酬率 %,-6.7995,-6.2017,6.1982,1.5563,-5.3638,8.9073,-1.1152,-0.376,3.3963,-2.5549,-1.1239,-1.515,17.3279,0.6803
1439 中和,現股當沖比重,0,0,0,0,0,0,0,3.57,5.93,0,0,0,2.99,0
1440 南紡,月報酬率 %,-5.5284,-7.1918,2.5831,11.1511,-8.4143,0.3534,-3.1691,1.4545,-2.8674,-3.6902,-1.5326,-4.2802,17.073,-9.953
1440 南紡,現股當沖比重,3.89,6.33,2.97,0.78,0.16,8.68,1.4,8.47,1.43,0.23,3.9,0.56,2.9,8.91
1441 大東,月報酬率 %,-2.8107,-12.7712,0.2761,5.9228,-7.1523,-1.8206,-4.137,3.5714,3.7356,-2.9084,-4.2796,21.4606,-4.0492,-5.4987
1441 大東,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442 名軒,月報酬率 %,-8.4747,-16.1056,3.6255,8.1632,-4.0434,-3.09,-2.0289,0.296,11.7994,4.4856,-2.5255,9.5854,-3.0732,7.8048
1442 名軒,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,6.34,0,0
1443 立益,月報酬率 %,1.6485,-20.3604,14.9324,0.0001,-4.5276,8.2473,0.9523,-1.5096,0.5746,-0.9524,-6.5384,-2.8807,1.0595,-1.6772
1443 立益,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444 力麗,月報酬率 %,-6.7021,-7.3334,7.794,5.228,-4.8626,5,-4.7618,4.2222,1.0661,-3.3757,-0.764,-3.6306,2.5184,1.297
1444 力麗,現股當沖比重,0.46,5.79,28.83,0,0,0,0,10.31,0.66,0,0,0.26,2.14,5.01
1445 大宇,月報酬率 %,-5.9724,-5.2314,4.7773,-1.4186,-4.8305,0.8638,-3.1048,2.431,4.0992,-6.1141,6.9536,0.1031,5.1281,0.5156
1445 大宇,現股當沖比重,0,0,0,0,0,0,0,5.4,6.87,0,0.63,0,7.69,18.18
1446 宏和,月報酬率 %,-11.2768,-3.8619,4.8101,-3.1401,3.7409,4.8079,-13.0734,3.1662,4.8593,-3.6585,-4.3038,-5.0265,4.4567,-0.0044
1446 宏和,現股當沖比重,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0
1447 力鵬,月報酬率 %,-13.8615,-6.8276,12.0467,5.896,-8.8426,-0.3593,-4.4471,4.78,-0.3599,-4.9395,-6.464,-6.3686,14.1826,-1.1406
1447 力鵬,現股當沖比重,0,0,0,0,0,0,0,7.11,1.29,0.68,0,0,11.08,12.4
1449 佳和,月報酬率 %,-22.5001,5.1613,7.2084,5.2932,-13.9945,-5.8451,-2.6847,-5.1725,-10.5455,-9.1463,-18.3446,13.6989,4.0964,-8.5648
1449 佳和,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1451 年興,月報酬率 %,-9.0186,-17.1053,6.3492,4.7264,-1.9002,9.6857,-4.415,4.619,8.1681,-3.2652,3.3756,3.7511,0.4183,0.6251
1451 年興,現股當沖比重,0,0,0,0,0,0,0,0,0,1.22,0,0,0,3.55
1452 宏益,月報酬率 %,-7.3251,-13.793,6.5453,-10.4097,-4.9525,-6.0119,-5.7568,14.4796,-3.5573,-13.7295,-9.501,6.0367,8.3037,14.4637
1452 宏益,現股當沖比重,0,0,0,0,0,0,0,12.16,2.88,4.24,0,5.58,5.14,4.57
1453 大將,月報酬率 %,-8.1159,-7.2554,-1.8141,-2.7714,-1.9001,2.0583,-7.2362,0.3838,14.2676,-5.2395,-3.0587,2.4273,-4.7391,3.1416
1453 大將,現股當沖比重,0,0,0,0,0,0,0,5.96,0,0,6.46,5.77,2.47,0
1454 台富,月報酬率 %,-11.3361,-6.1572,9.359,-6.0465,-9.505,2.2978,-6.0964,5.353,0.2163,-6.4726,-2.1914,2.7124,9.9443,0.0002
1454 台富,現股當沖比重,0,0,0,0,0,0,0,16.33,6.17,0,11.11,0,8.57,0
1455 集盛,月報酬率 %,-15.1421,-16.9168,6.8204,-11.1737,-17.3361,6.9056,8.4927,4.5205,-4.8524,-5.0999,-3.3879,-3.265,12.2288,-2.7366
1455 集盛,現股當沖比重,4.31,18.28,10.62,0,0,0,0,19.92,5.16,1.06,0.55,0.71,16.46,2.11
1456 怡華,月報酬率 %,-7.2463,-9.3751,14.8276,-31.3813,-6.1268,22.8437,-16.3188,-8.2087,-10,30.4351,-15.2778,0,2.7322,-3.1915
1456 怡華,現股當沖比重,0,0,0,0,0,0,0,0,0,0,30.95,0,0,0
1457 宜進,月報酬率 %,-7.7657,13.3602,5.0001,-6.8027,-18.6131,7.6232,-4.1667,8.6955,-5.6,0.4236,-15.1899,4.9749,1.9524,-0.9851
1457 宜進,現股當沖比重,0,0,0,0,0,0,0,17.65,13.17,7.4,0.75,3.14,14.73,0
1459 聯發,月報酬率 %,3.7897,-4.1048,7.004,-9.8181,-17.7419,8.8236,-7.2072,3.8836,-6.075,-8.159,-8.4508,-3.6687,7.4117,-1.7566
1459 聯發,現股當沖比重,0,0,0,0,0,0,0,12.23,1.53,0.88,5.56,6.42,8.07,0
1460 宏遠,月報酬率 %,-11.5678,-13.5923,20.599,1.8633,-3.9635,-4.7618,0.6665,9.6027,-4.2296,-2.839,1.6235,-1.278,5.9446,-2.2507
1460 宏遠,現股當沖比重,5.6,10.34,11.21,0,0,0,0,13.28,2.95,4.11,1.45,0.66,1.65,4.67
1463 強盛,月報酬率 %,5.3052,-18.1819,9.3751,0.0001,3.4922,3.0676,-4.1669,7.4534,1.1562,-3.7142,2.077,4.0698,2.5252,1.1331
1463 強盛,現股當沖比重,0,0,0,0,0,0,0,4.55,9.3,6.13,6.31,2.53,0,0.88
1464 得力,月報酬率 %,-3.9867,-8.9485,47.5208,-7.143,-1.9607,0.154,0.6147,19.8471,-5.4669,-9.9448,-5.0614,-3.7156,8.6958,-5.9407
1464 得力,現股當沖比重,0,0,0,12.67,10.99,8.88,0,18.78,14.84,18.26,8.3,4.7,6.22,4.15
1465 偉全,月報酬率 %,-3.9754,-11.7834,1.7533,0.7606,7.1698,4.2253,-2.0271,1.0347,0.0003,-3.7544,-1.4183,1.0792,0.356,-0.0002
1465 偉全,現股當沖比重,0,0,0,0,0,0,0,0,0,6.02,0,3.62,0,0.59
1466 聚隆,月報酬率 %,-20.6999,3.267,32.2221,-7.0028,-8.4338,16.4473,-9.0396,-0.6211,-7.1874,-7.0707,-3.9856,-0.7546,2.2813,-2.9737
1466 聚隆,現股當沖比重,0,0,0,0,0,0,0,0.73,0,0,0,0,0,0
1467 南緯,月報酬率 %,-5.3789,-11.7885,28.1105,-5.0359,8.3332,16.7831,-6.8864,4.1803,-12.0372,-7.7194,0.3804,6.0608,-3.214,-5.166
1467 南緯,現股當沖比重,0,0,0,0,0,0,0,6.27,0,0.38,0,5.96,3.37,0
1468 昶和,月報酬率 %,0.6315,-3.975,-0.109,3.2717,-3.0622,5.3376,-2.9987,6.0766,0.3015,-1.8035,0.8164,4.7571,-1.9324,3.941
1468 昶和,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470 大統新創,月報酬率 %,9.7912,-9.2644,2.7025,2.3393,2.857,3.0556,0.2694,3.7634,-2.0722,3.1747,-5.1282,7.0274,1.3839,-4.3704
1470 大統新創,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0
