公司,Data Field,2013/12/31
2867 三商壽,負債比率,96.95
2880 華南金,負債比率,93.73
2881 富邦金,負債比率,92.56
2882 國泰金,負債比率,93.86
2883 開發金,負債比率,73.9
2884 玉山金,負債比率,93.97
2885 元大金,負債比率,81.32
2886 兆豐金,負債比率,92.24
2887 台新金,負債比率,93.1
2888 新光金,負債比率,95.47
2889 國票金,負債比率,85.25
2890 永豐金,負債比率,92.6
2891 中信金,負債比率,92.05
2892 第一金,負債比率,93.76
2897 王道銀行,負債比率,89.09
2901 欣欣,負債比率,14.08
2903 遠百,負債比率,66.72
2904 匯僑,負債比率,6.96
2905 三商,負債比率,96.72
2906 高林,負債比率,25.87
2908 特力,負債比率,70.93
2910 統領,負債比率,57.15
2911 麗嬰房,負債比率,56.33
2912 統一超,負債比率,67.07
2913 農林,負債比率,33.44
2915 潤泰全,負債比率,12.34
2916 滿心,負債比率,25.75
2923 鼎固-KY,負債比率,51.47
2924 東凌-KY,負債比率,35.4
2926 誠品生活,負債比率,64.3
2928 紅馬-KY,負債比率,34.23
2929 淘帝-KY,負債比率,32.32
2936 客思達-KY,負債比率,46.94
2937 集雅社,負債比率,51.21
2939 凱羿-KY,負債比率,0
3002 歐格,負債比率,20.32
3003 健和興,負債比率,31.43
3004 豐達科,負債比率,60.95
3005 神基,負債比率,38.92
3006 晶豪科,負債比率,26.97
3008 大立光,負債比率,21.15
3010 華立,負債比率,58.25
3011 今皓,負債比率,34.73
3013 晟銘電,負債比率,43.44
3014 聯陽,負債比率,21.59
3015 全漢,負債比率,46.2
3016 嘉晶,負債比率,27.49
3017 奇鋐,負債比率,66.12
3018 同開,負債比率,53.47
3019 亞光,負債比率,38.23
3021 鴻名,負債比率,27.87
3022 威強電,負債比率,58.54
3023 信邦,負債比率,50.42
3024 憶聲,負債比率,49.02
3025 星通,負債比率,19.41
3026 禾伸堂,負債比率,34.8
3027 盛達,負債比率,33.9
3028 增你強,負債比率,66.13
3029 零壹,負債比率,54.59
3030 德律,負債比率,15.9
3031 佰鴻,負債比率,21.28
3032 偉訓,負債比率,35.31
3033 威健,負債比率,73.53
3034 聯詠,負債比率,36.87
3035 智原,負債比率,19.58
3036 文曄,負債比率,64.55
3037 欣興,負債比率,49.82
3038 全台,負債比率,46.94
3040 遠見,負債比率,12.07
3041 揚智,負債比率,15.81
3042 晶技,負債比率,35.88
3043 科風,負債比率,80.85
3044 健鼎,負債比率,46.75
3045 台灣大,負債比率,57.7
3046 建碁,負債比率,37.61
3047 訊舟,負債比率,44.17
3048 益登,負債比率,70.14
3049 和鑫,負債比率,79.75
3050 鈺德,負債比率,15.89
3051 力特,負債比率,89.35
3052 夆典,負債比率,56.35
3054 立萬利,負債比率,35.65
3055 蔚華科,負債比率,26.32
3056 總太,負債比率,65.52
3057 喬鼎,負債比率,30.9
3058 立德,負債比率,48.75
3059 華晶科,負債比率,37.02
3060 銘異,負債比率,31.49
3062 建漢,負債比率,39.74
3064 泰偉,負債比率,25.94
3066 李洲,負債比率,37.09
3067 全域,負債比率,27.08
3071 協禧,負債比率,44.58
3073 凱柏實業,負債比率,22.94
3078 僑威,負債比率,36.55
3081 聯亞,負債比率,13.7
3083 網龍,負債比率,9
3085 新零售,負債比率,18.74
3086 華義,負債比率,20.4
3088 艾訊,負債比率,35.94
