公司,Data Field,2016/6/30,2016/9/30,2016/12/30,2017/3/31,2017/6/30,2017/9/30,2017/12/29,2018/3/31
2115 六暉-KY,M資產總額,0,0,0,0,0,0,0,"3,312,864"
2201 裕隆,M資產總額,0,0,0,0,0,0,"258,416,507","266,366,997"
2204 中華,M資產總額,0,0,0,0,0,0,"63,528,926","64,655,646"
2206 三陽工業,M資產總額,0,0,0,0,0,0,"36,629,218","36,618,480"
2207 和泰車,M資產總額,0,0,0,"187,182,110","195,255,494","194,853,030","206,593,486","212,331,810"
2208 台船,M資產總額,0,0,0,"28,565,515","24,164,357","22,170,771",0,"22,758,895"
2221 大甲,M資產總額,0,0,0,0,0,0,"1,245,235","1,294,023"
2227 裕日車,M資產總額,0,0,0,0,0,0,"25,776,787","27,568,266"
2228 劍麟,M資產總額,0,0,0,0,0,0,"4,772,579","4,891,200"
2230 泰茂,M資產總額,0,0,0,0,0,0,"1,025,678","1,050,078"
2231 為升,M資產總額,0,0,0,0,0,0,"6,532,427","6,342,873"
2233 宇隆,M資產總額,0,0,0,0,0,0,"3,366,447","3,634,796"
2235 謚源,M資產總額,0,0,0,0,0,0,"1,669,861","1,659,693"
2236 百達-KY,M資產總額,0,0,0,0,0,0,"2,272,078","2,158,421"
2239 英利-KY,M資產總額,0,0,0,0,0,0,"25,386,875","26,196,604"
2243 宏旭-KY,M資產總額,0,0,0,0,0,0,"3,993,956","4,121,330"
2301 光寶科,M資產總額,0,0,0,0,0,0,"189,995,757","191,192,579"
2302 麗正,M資產總額,0,0,0,0,0,0,"1,974,706","2,006,492"
2303 聯電,M資產總額,0,0,0,0,0,0,"394,099,162","385,559,972"
2305 全友,M資產總額,0,0,0,0,0,0,"2,912,863","2,703,642"
2308 台達電,M資產總額,0,0,0,0,0,0,0,"241,926,186"
2312 金寶,M資產總額,0,0,0,0,0,0,"89,339,237","87,666,704"
2313 華通,M資產總額,0,0,0,0,0,0,"56,354,425","56,911,537"
2314 台揚,M資產總額,0,0,0,0,0,0,"5,750,222","5,746,589"
2316 楠梓電,M資產總額,0,0,0,0,0,0,"11,677,159","11,825,804"
2317 鴻海,M資產總額,0,0,0,0,0,0,"3,407,216,613","2,722,234,012"
2321 東訊,M資產總額,0,0,0,0,0,0,"2,238,039","2,196,145"
2323 中環,M資產總額,0,0,0,0,0,0,"25,925,358","25,074,622"
2324 仁寶,M資產總額,0,0,0,0,0,0,"363,356,421","343,679,059"
2327 國巨,M資產總額,0,0,"51,666,809",0,0,0,"69,697,225","76,484,803"
2328 廣宇,M資產總額,0,0,"18,735,011",0,0,0,"20,587,130","19,408,294"
2329 華泰,M資產總額,0,0,0,0,0,0,"16,711,308","16,509,921"
2330 台積電,M資產總額,0,0,0,"1,934,663,761",0,"1,841,424,382","1,991,861,643","2,049,155,806"
2331 精英,M資產總額,0,0,0,0,0,0,"21,920,719","22,887,905"
2332 友訊,M資產總額,0,0,0,0,0,"16,805,840","17,204,362","16,567,446"
2337 旺宏,M資產總額,0,0,0,0,0,0,"44,193,899","48,300,239"
2338 光罩,M資產總額,0,0,0,"3,779,979","3,884,037","3,635,458","3,110,149","3,244,817"
2340 光磊,M資產總額,0,0,0,0,0,0,"9,891,033","10,458,522"
2342 茂矽,M資產總額,0,0,"2,262,562",0,0,0,"2,659,335","2,669,563"
2344 華邦電,M資產總額,0,0,0,0,0,0,"88,116,123","88,470,718"
2345 智邦,M資產總額,0,0,0,0,0,0,"18,747,018","20,186,433"
2347 聯強,M資產總額,0,0,0,0,0,0,"138,801,268","133,032,489"
2348 海悅,M資產總額,0,0,0,0,0,0,"1,781,223","1,813,396"
2349 錸德,M資產總額,0,0,0,0,0,0,"23,487,562","22,589,069"
2351 順德,M資產總額,0,0,0,0,0,0,"10,684,994","10,688,991"
2352 佳世達,M資產總額,0,0,0,0,0,0,"108,939,416","110,337,225"
2353 宏碁,M資產總額,0,0,0,0,0,0,"157,612,771","146,804,064"
2354 鴻準,M資產總額,0,0,0,0,0,0,"215,464,427","196,253,889"
2355 敬鵬,M資產總額,0,0,0,0,0,0,"25,229,386","24,974,603"
2356 英業達,M資產總額,0,0,0,0,0,0,"208,767,827","195,295,783"
2357 華碩,M資產總額,0,0,0,0,0,0,0,"343,767,800"
2358 廷鑫,M資產總額,0,0,"1,433,088","1,435,468","1,397,963","1,640,399","1,865,281","2,202,570"
2359 所羅門,M資產總額,0,0,0,0,0,0,"5,880,385","5,760,259"
2360 致茂,M資產總額,0,0,0,0,0,0,"22,017,612","21,804,131"
2362 藍天,M資產總額,0,0,0,0,0,0,"112,467,238","109,706,078"
2363 矽統,M資產總額,0,0,0,0,0,0,"7,325,642","8,047,350"
2364 倫飛,M資產總額,0,0,0,0,0,0,"1,152,393","1,238,400"
2365 昆盈,M資產總額,0,0,0,0,0,0,"5,144,440","5,026,319"
2367 燿華,M資產總額,0,0,0,0,0,0,"22,438,719","21,755,239"
2368 金像電,M資產總額,0,0,0,0,0,0,"21,255,597","20,730,974"
2369 菱生,M資產總額,0,0,0,0,0,0,"9,330,230","9,076,611"
2371 大同,M資產總額,0,0,0,0,0,0,"244,094,529","248,390,032"
